index,ComplexClass,ClassDataShouldBePrivate,InappropriatIntimacy,LargeClass,LazyClass,MiddleMan,RefusedBequest,SpaghettiCode,SpeculativeGenerality,Blob,DataClass,Anti-singleton,SwissArmyKnife,DispersedCoupling,ShotgunSurgery,Comments,FeatureEnvy,LongMethod,LongParameterList,MessageChains,Non-smell
793,0.0,0.0015163,0.04625155775865506,0.0,0.019711903,0.0,0.0,0.0,0.0,0.0,0.0039196239594778935,0.0,0.0,0.0,0.01550908452981273,0.0,0.0,0.0,0.0,0.0,0.991093011
794,0.0,0.031741798,0.03888864522757058,0.0,0.000533476,0.0,0.0,0.0,0.0,0.0,0.0339241376341776,0.0,0.0,0.0,0.016369551157925374,0.0,0.0,0.01364584431481776,0.003850367724670932,0.0,0.932698557
795,0.7726942639696603,1.0,0.004505431678151666,0.0,0.071895425,0.0,0.0,0.0,0.0,0.0,0.006758148551224181,0.0,0.0,0.0,0.0,0.0,0.0,0.06392321880363529,0.0,0.0,0.98817362
796,0.7470598566078444,1.0,0.0049004577028710465,0.0,0.077409163,0.0,0.0,0.0,0.0,0.0,0.0049004577028710465,0.0,0.04642119777920482,0.0,0.0,0.0,0.0,0.12171706220315605,0.0,0.0,0.984459929
797,0.48227969431364415,1.0,0.011142205562757189,0.0,0.67887931,0.0,0.0,0.0,0.0,0.0,0.011142205562757189,0.0353531093506285,0.03166444979335857,0.0,0.0,0.0,0.0,0.16315178927497098,0.0,0.0,0.976028927
798,0.0,0.071487264,0.0144436680473552,0.0,0.062448644,0.0,0.0,0.0,0.0,0.0,0.012744412374727128,0.026957850678874802,0.024145132494347722,0.0,0.11307834125050992,0.0,0.0,0.26606350663880163,0.0,0.0,0.969738992
799,0.0,0.029396045,0.021553110767594665,0.0,0.019775521,0.0,0.0,0.0,0.0,0.0,0.02044782311546135,0.07013936740274332,0.015705312744277975,0.0,0.059636995355554494,0.0,0.05749137723590279,0.19013403952813668,0.0,0.0,0.940531279
800,0.0,0.065135699,0.10073732431919427,0.0,0.004732081,0.0,0.0,0.0,0.0,0.0,0.08389980091955207,0.0,0.0,0.0,0.030800551132616986,0.0,0.0,0.06489255330823962,0.0,0.0,0.829584113
801,0.0,0.020618557,0.024488636656151676,0.23561576355512934,0.0,0.0,0.07306640256658428,0.23561576355512934,0.0,0.0,0.024488636656151676,0.11883533219116636,0.09824892965070449,0.0,0.09430532441770124,0.0,0.050498516082457694,0.1546367564845246,0.043629489675338744,0.0,0.873566103
802,0.0,0.033841514,0.049023465046115926,0.06611242900202889,0.000335064,0.0,0.0,0.04722313941216321,0.0,0.0,0.04122821368601504,0.02198538568246741,0.014768619370326487,0.0,0.04642190642078031,0.0,0.069217534290527,0.056522341018481116,0.003588409661329389,0.0,0.867314159
803,0.0,0.112255965,0.05495210113249407,0.030572106472757713,0.238069414,0.0,0.0,0.0,0.0,0.0,0.05214842222895954,0.0,0.0,0.0,0.14119047719691744,0.0,0.0,0.02693626925294728,0.01139974962630435,0.0,0.952881515
804,0.0,0.112399795,0.14637851693795806,0.028846129453124723,0.001876173,0.0,0.007454519111817788,0.03846156231250027,0.0,0.0,0.1456730789050696,0.016787138151254415,0.02004750669484377,0.0,0.040600218208561474,0.0,0.054956685650116306,0.035340525167867495,0.0028482741807770934,0.0,0.796371386
805,0.0,0.023454158,0.02572131063161769,0.0,0.008528785,0.0,0.0,0.0,0.0,0.0,0.02572131063161769,0.0,0.0,0.0,0.003965202860183067,0.0,0.0,0.0,0.011054256047208336,0.0,0.986920368
