longname,LOC,CYCLO,MAXNESTING,CC,CM,FANOUT,CountInput,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MinEssentialKnots,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NOPL,label
karta_CleandDuplicate__org.apache.tools.ant.taskdefs.Javac.createSrc,12,2.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,3.0,6.0,4.0,2.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0
-src_CleandDuplicate__org.jboss.verifier.strategy.AbstractVerifier.isRMIIDLRemoteInterface,62,9.0,3.0,0.0,0.0,9.0,2.0,9.0,30.0,7.0,21.0,23.0,14.0,18.0,1.0,13.0,22.0,7.0,15.0,9.0,9.0,9.0,12.0,12.0,12.0,0.77,9.0,9.0,9.0,9.0,1.0,0
re-R3_5_1_CleandDuplicate__org.eclipse.jdt.internal.compiler.ASTVisitor.endVisit,3,1.0,0.0,6.0,6.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,2.0,0
1.4.11_CleandDuplicate__org.apache.wicket.feedback.FeedbackMessage.isError,9,1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.25,1.0,1.0,1.0,1.0,0.0,0
.14_CleandDuplicate__org.jfree.chart.axis.NumberAxis.calculateHighestVisibleTickValue,14,1.0,0.0,0.0,0.0,5.0,0.0,2.0,5.0,3.0,3.0,7.0,6.0,1.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.4,1.0,1.0,1.0,1.0,0.0,0
-src_CleandDuplicate__org.jboss.invocation.pooled.server.ServerThread.nextID,5,1.0,0.0,1.0,2.0,0.0,3.0,0.0,5.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0
1-src_CleandDuplicate__org.jboss.ejb.plugins.PerTxEntityInstanceCache.createCacheKey,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0
re-R2_1_0_CleandDuplicate__org.eclipse.jdt.core.dom.MethodDeclaration.setReturnType,23,2.0,1.0,8.0,12.0,1.0,14.0,0.0,7.0,1.0,4.0,16.0,2.0,2.0,0.0,3.0,5.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,2.29,2.0,2.0,2.0,1.0,1.0,0
ease-0.3-incubating_CleandDuplicate__org.json.JSONObject.doubleToString,24,5.0,2.0,1.0,1.0,5.0,2.0,2.0,15.0,2.0,9.0,7.0,8.0,6.0,1.0,5.0,10.0,2.0,8.0,5.0,8.0,1.0,1.0,0.0,0.0,0.47,5.0,5.0,8.0,1.0,1.0,0
c_CleandDuplicate__org.jboss.varia.scheduler.ScheduleManager.startService,35,4.0,1.0,0.0,0.0,6.0,4.0,2.0,23.0,2.0,15.0,10.0,10.0,8.0,1.0,6.0,10.0,1.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,0.43,4.0,4.0,4.0,1.0,1.0,0
.0_CleandDuplicate__org.apache.hadoop.hbase.regionserver.StoreFile.computeHDFSBlockDistribution,19,2.0,1.0,0.0,0.0,4.0,2.0,0.0,12.0,6.0,8.0,7.0,8.0,2.0,0.0,6.0,8.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.58,2.0,2.0,2.0,1.0,2.0,0
