Classlongname,LOC,NOPA,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,WOC,WMCNAMM,LOCNAMM,NOMNAMM,NOAM,TCC,PK_CountDeclClassMethod,NumberOfTokens,NumberOfIdentifies,NumberOfReturnAndPrintStatements,NumberOfConditionalJumpStatements,NumberOfKeywords,NumberOfAssignments,NumberOfOperatorsWithoutAssignments,NumberOfUniqueIdentifiers,NumberOfDots,NumberOfNewStatements,MinLineCode,CountLineCodeNAMM,LogStmtDecl,CSNOMNAMM,NIM,RFC,CFNAMM,DAC,NMO,NOII,LogCyclomaticStrict,FANIN,FANOUT,ATFD,NumberOfMethodCalls,SumCountPath,NumberOfClassConstructors,AvgLineCodeExe,AvgStmtDecl,NumberOfDepends,label
argouml-VERSION_0_30__org.argouml.uml.ui.foundation.core.UMLAssociationEndAssociationListModel,34,0.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,35.0,0.0,0.0,2.0,1.0,4.0,16.0,5.0,6.0,14.0,4.0,9.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.88,4.0,4.0,5.0,3.0,1.0,4.0,34.0,3.0,0.0,0.0,30.0,0,0,0,0,0,0,0,0,0,0,3,13,0.6020599913279624,3,32,0,0,0,2,15,0.7781512503836436,2,13,0,0,4,1,2.0,1.0,3,0
hbase-0.1.0__org.apache.hadoop.hbase.mapred.GroupingTableMap,138,1.0,3.0,3.0,3.0,1.0,19.0,0.0,11.0,7.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,5.0,7.0,0.0,0.0,2.0,3.0,9.0,67.0,23.0,36.0,62.0,31.0,49.0,20.0,29.0,6.0,6.0,6.0,5.0,3.0,4.0,60.0,0.93,16.0,16.0,16.0,9.0,0.75,16.0,138.0,5.0,0.0,0.3333333333333333,6.0,0,0,0,0,0,0,0,0,0,0,5,59,1.255272505103306,5,2,0,0,1,1,3,1.230448921378274,20,21,6,0,20,0,7.0,3.4,4,0
eclipse.jdt.core-R3_6_1__org.eclipse.jdt.internal.core.jdom.DOMBuilder,706,0.0,2.0,2.0,2.0,1.0,20.0,0.0,12.0,8.0,2.0,23.0,0.0,0.0,0.0,32.0,4.0,32.0,51.0,0.0,0.0,6.0,26.0,17.0,405.0,122.0,266.0,294.0,190.0,267.0,90.0,177.0,10.0,10.0,12.0,3.0,3.0,4.0,81.0,0.73,78.0,78.0,89.0,36.0,1.0,77.0,700.0,31.0,1.0,0.2276923076923077,0.0,0,0,0,0,0,0,0,0,0,0,2,396,1.934498451243568,31,19,1,0,2,16,99,1.954242509439325,265,116,5,1,157,1,8.21875,2.65625,25,0
lucene-solr-releases-lucene-solr-3.3__org.apache.solr.handler.DumpRequestHandler,70,0.0,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,5.0,17.0,0.0,0.0,0.0,5.0,7.0,43.0,14.0,21.0,20.0,17.0,27.0,10.0,17.0,3.0,3.0,3.0,1.0,2.0,3.0,0.0,0.47,7.0,7.0,7.0,5.0,0.2,3.0,58.0,1.0,4.0,0.0,22.0,0,0,0,0,0,0,0,0,0,0,3,23,1.0,1,12,0,0,0,5,26,0.9030899869919436,2,19,4,0,7,0,4.2,1.8,7,0
eclipse.jdt.core-R3_6_1__org.eclipse.jdt.internal.compiler.codegen.IntegerCache,153,2.0,2.0,2.0,3.0,1.0,13.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,10.0,0.0,1.0,0.0,9.0,1.0,88.0,23.0,52.0,68.0,49.0,71.0,26.0,45.0,4.0,4.0,6.0,3.0,1.0,2.0,44.0,0.77,23.0,23.0,33.0,16.0,0.7272727272727273,20.0,138.0,9.0,1.0,0.4444444444444444,8.0,0,0,0,0,0,0,0,0,0,0,3,73,1.3424226808222062,9,0,0,0,2,0,99,1.5314789170422551,81,66,2,0,25,2,5.2,2.1,0,0
struts-STRUTS_2_2_3__org.apache.struts2.views.velocity.StrutsVelocityContext,88,0.0,4.0,4.0,4.0,4.0,18.0,3.0,13.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,19.0,59.0,11.0,33.0,10.0,25.0,44.0,13.0,31.0,8.0,8.0,8.0,8.0,2.0,3.0,25.0,0.17,18.0,18.0,18.0,18.0,1.0,18.0,88.0,4.0,0.0,0.3333333333333333,1.0,0,0,0,0,0,0,0,0,0,0,3,54,1.0,4,0,0,0,2,0,51,1.2787536009528289,13,19,1,0,24,2,8.0,2.25,1,0
nutch-release-0.9__org.apache.nutch.indexer.FsDirectory.DfsIndexOutput,29,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,6.0,6.0,0.0,0.0,1.0,5.0,7.0,22.0,8.0,7.0,1.0,8.0,15.0,8.0,7.0,1.0,1.0,1.0,1.0,2.0,0.0,16.0,0.05,6.0,6.0,6.0,6.0,1.0,6.0,29.0,6.0,0.0,0.3,7.0,0,0,0,0,0,0,0,0,0,0,3,19,0.8450980400142568,6,0,0,0,1,0,0,0.8450980400142568,9,8,0,0,6,1,1.1666666666666667,1.0,1,0
pig-release-0.6.0__org.apache.pig.builtin.FloatSum.Intermediate,16,0.0,3.0,3.0,3.0,3.0,11.0,0.0,11.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,9.0,0.0,6.0,9.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,16.0,1.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,11,11,0.6020599913279624,1,16,1,0,1,1,6,0.6020599913279624,5,5,0,1,3,0,8.0,3.0,6,0
jboss-4.0.4.GA-src__org.jboss.security.jacc.SubjectPolicyContextHandler,71,2.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,61.0,22.0,30.0,4.0,20.0,30.0,17.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.07,4.0,4.0,4.0,3.0,0.2,1.0,56.0,1.0,2.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,5,5,0.7781512503836436,1,0,0,0,1,3,42,0.6989700043360189,6,6,2,0,4,0,2.333333333333333,1.6666666666666667,3,0
jboss-3.0.7-src__org.jboss.resource.connectionmanager.InternalManagedConnectionPool.SetOfOne.iterator.(Anon_1),22,0.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,19.0,0.0,11.0,1.0,6.0,10.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,33.0,0.05,4.0,4.0,4.0,3.0,1.0,4.0,22.0,3.0,0.0,0.3333333333333333,7.0,0,0,0,0,0,0,0,0,0,0,4,17,0.6020599913279624,3,0,0,0,0,0,5,0.6989700043360189,3,3,0,0,4,0,3.0,1.0,1,0
struts-STRUTS_2_2_3__org.apache.struts2.el.lang.ELArithmetic.BigDecimalDelegate,39,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,25.0,0.0,0.0,7.0,1.0,8.0,31.0,9.0,13.0,0.0,10.0,21.0,9.0,12.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,10.0,10.0,11.0,10.0,1.0,10.0,39.0,8.0,0.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,3,29,0.9542425094393248,8,17,0,0,0,8,51,1.0791812460476249,20,14,0,0,10,0,1.625,1.0,1,0
jfreechart-0.9.4a__com.jrefinery.chart.CandlestickRenderer,306,0.0,2.0,2.0,2.0,1.0,22.0,2.0,12.0,7.0,2.0,12.0,0.0,0.0,0.0,12.0,4.0,12.0,32.0,0.0,0.0,0.0,12.0,49.0,155.0,55.0,102.0,102.0,85.0,115.0,51.0,64.0,16.0,16.0,18.0,1.0,3.0,3.0,64.0,0.66,29.0,29.0,31.0,12.0,0.4166666666666667,20.0,217.0,5.0,7.0,0.2121212121212121,73.0,0,0,0,0,0,0,0,0,0,0,3,117,1.6720978579357175,5,20,0,0,2,1,0,1.505149978319906,36,55,9,0,3213,3,8.5,3.8333333333333335,15,0
qpid-0.18__org.apache.qpid.server.queue.SimpleAMQQueue.getMessageOnTheQueue.(Anon_2),13,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,6.0,0.0,4.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,13.0,2.0,0.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,4,9,0.4771212547196624,2,0,0,0,0,2,110,0.4771212547196624,4,5,0,0,2,0,2.5,1.0,3,0
